"類別","日文","發音","英文翻譯","中文","例句"
"Lesson 2","こちらこそよろしく。","こちらこそよろしく。","I am pleased to meet you.","我才是、彼此彼此。","こちらこそよろしく。"
"Lesson 3","教室","きょうしつ","Classroom","教室","教室はどこですか。"
"Lesson 3","食堂","しょくどう","Dining hall","餐廳","食堂は何階ですか。"
"Lesson 3","事務所","じむしょ","Office","辦公室","事務所は三階です。"
"Lesson 3","会議室","かいぎしつ","Conference room","會議室","会議室は二階です。"
"Lesson 3","受付","うけつけ","Reception desk","服務台","受付はどこですか。"
"Lesson 3","部屋","へや","Room","房間","わたしの部屋は五階です。"
"Lesson 3","階段","かいだん","Staircase","樓梯","階段はあそこです。"
"Lesson 3","「お」国","「お」くに","[your] Country","（您的）國家","お国はどちらですか。"
"Lesson 3","会社","かいしゃ","Company","公司","ミラーさんの会社はどこですか。"
"Lesson 3","内","うち","House (in this pronunciation)","我家、自己家","うちは大学の近くです。"
"Lesson 3","電話","でんわ","Telephone","電話","電話はどこですか。"
"Lesson 3","靴","くつ","Shoe","鞋子","靴の売り場は何階ですか。"
"Lesson 3","たばこ","たばこ","Tobacco Cigarette","香菸","たばこの売り場は地下一階です。"
"Lesson 3","売り場","うりば","Department, Counter, Place to pay","賣場、專櫃","くつの売り場は何階ですか。"
"Lesson 3","地下","ちか","Basement","地下","食料品は地下一階です。"
"Lesson 3","～階","～かい","～Floor","～樓","食堂は六階です。"
"Lesson 3","～円","～えん","～Yen","～日圓","この本はいくらですか。三百円です。"
"Lesson 3","いくら","いくら","How much (price)","多少錢","この本はいくらですか。"
"Lesson 3","百","ひゃく","Hundred","百","この雑誌は五百円です。"
"Lesson 3","千","せん","Thousand","千","この時計は三千円です。"
"Lesson 3","万","まん","Ten Thousand","萬","この自動車は百万円です。"
"Lesson 3","すみません。","すみません","Excuse me.","不好意思。","すみません。電話はどこですか。"
"Lesson 3","～でございます。","～でございます。","Polite equivalent of です。","（です的敬語說法）","婦人服は三階でございます。"
"Lesson 3","駐車場","ちゅうしゃじょう","Car parking","停車場","駐車場は地下一階です。"
"Lesson 3","食料品","しょくりょうひん","Food","食品","食料品の売り場は地下です。"
"Lesson 3","化粧品","けしょうひん","Cosmetics","化妝品","化粧品は二階です。"
"Lesson 3","婦人服","ふじんふく","Ladies' wear","女裝","婦人服の売り場は三階です。"
"Lesson 3","紳士服","しんしふく","Men's wear","男裝","紳士服は四階です。"
"Lesson 3","家具","かぐ","Furniture","家具","家具は七階です。"
"Lesson 3","食器","しょっき","Kitchenwear","餐具","食器の売り場は六階です。"
"Lesson 3","電気製品","でんきせいひん","Electrical Appliances","電器產品","電気製品は五階です。"
"Lesson 3","子ども服","こどもふく","Children's clothes","童裝","子ども服は四階です。"
"Lesson 3","おもちゃ","おもちゃ","Toys","玩具","おもちゃの売り場は五階です。"
"Lesson 3","文房具","ぶんぼうぐ","Stationary; writing accessories","文具","文房具は六階です。"
"Lesson 3","スポーツ用品","スポーツようひん","Sporting goods","運動用品","スポーツ用品は七階です。"
"Lesson 3","旅行用品","りょこうようひん","Leisure goods","旅行用品","旅行用品は七階です。"
"Lesson 3","眼鏡","めがね","Glasses","眼鏡","眼鏡の売り場は二階です。"
"Lesson 3","催し物会場","もよおしものかいじょう","Event hall","活動會場","催し物会場は八階です。"
"Lesson 3","屋上","おくじょう","Roof","屋頂","屋上はここです。"
"Lesson 3","遊園地","ゆうえんち","Amusement park","遊樂園","遊園地は屋上です。"
"Lesson 4","起きます","おきます","Get up, wake up","起床","わたしは毎朝六時に起きます。"
"Lesson 4","寝ます","ねます","Sleep, go to bed","睡覺、就寢","わたしは毎晩十一時に寝ます。"
"Lesson 4","働きます","はたらきます","Work","工作","ミラーさんは銀行で働きます。"
"Lesson 4","休みます","やすみます","Take rest, Take a holiday","休息、請假","日曜日は休みます。"
"Lesson 4","勉強します","べんきょうします","Study","學習、讀書","わたしは毎日日本語を勉強します。"
"Lesson 4","終わります","おわります","Finish","結束","仕事は六時に終わります。"
"Lesson 4","銀行","ぎんこう","Bank","銀行","銀行は九時から三時までです。"
"Lesson 4","郵便局","ゆうびんきょく","Post office","郵局","郵便局は何時から何時までですか。"
"Lesson 4","図書館","としょかん","Library","圖書館","図書館は九時から五時までです。"
"Lesson 4","美術館","びじゅつかん","Art museum","美術館","美術館は何曜日が休みですか。"
"Lesson 4","今","いま","Now","現在","今何時ですか。"
"Lesson 4","～時","～じ","～O'clock","～點","今三時です。"
"Lesson 4","～分","～ふん","～Minute","～分","今三時十分です。"
"Lesson 4","半","はん","Half","半（三十分）","今六時半です。"
"Lesson 4","何時","なんじ","What time?","幾點","今何時ですか。"
"Lesson 4","何分","なんぷん","What minute","幾分","今何時何分ですか。"
"Lesson 4","午前","ごぜん","Morning, a.m. (For saying time)","上午","銀行は午前九時から午後三時までです。"
"Lesson 4","午後","ごご","Afternoon, p.m. (For saying time)","下午","図書館は午後五時に終わります。"
"Lesson 4","朝","あさ","Morning","早上","わたしは朝六時に起きます。"
"Lesson 4","昼","ひる","Noon","中午","昼休みは十二時から一時までです。"
"Lesson 4","夜","よる","Evening","晚上","わたしは毎晩十一時に寝ます。"
"Lesson 4","晩","ばん","Night","夜晚","わたしは毎晩勉強します。"
"Lesson 4","おととい","おととい","The day before yesterday","前天","おとといは日曜日でした。"
"Lesson 4","きのう","きのう","Yesterday","昨天","きのうは休みでした。"
"Lesson 4","きょう","きょう","Today","今天","きょうは何曜日ですか。"
"Lesson 4","あした","あした","Tomorrow","明天","あしたは土曜日です。"
"Lesson 4","あさって","あさって","The day after tomorrow","後天","あさっては日曜日です。"
"Lesson 4","今朝","けさ","This morning","今天早上","今朝は六時に起きました。"
"Lesson 4","今晩","こんばん","This evening, Tonight","今晚","今晩何時に寝ますか。"
"Lesson 4","休み","やすみ","Rest, Holiday, a day off","休假、假日","日曜日は休みです。"
"Lesson 4","昼休み","ひるやすみ","Lunch break","午休","昼休みは十二時から一時までです。"
"Lesson 4","毎朝","まいあさ","Every Morning","每天早上","わたしは毎朝七時に起きます。"
"Lesson 4","毎晩","まいばん","Every Night","每天晚上","わたしは毎晩十一時に寝ます。"
"Lesson 4","毎日","まいにち","Every day","每天","わたしは毎日勉強します。"
"Lesson 4","月曜日","げつようび","Monday","星期一","月曜日から金曜日まで働きます。"
"Lesson 4","火曜日","かようび","Tuesday","星期二","火曜日は図書館で勉強します。"
"Lesson 4","水曜日","すいようび","Wednesday","星期三","水曜日は休みです。"
"Lesson 4","木曜日","もくようび","Thursday","星期四","木曜日は何時から働きますか。"
"Lesson 4","金曜日","きんようび","Friday","星期五","金曜日は六時に仕事が終わります。"
"Lesson 4","土曜日","どようび","Saturday","星期六","土曜日は休みですか。"
"Lesson 4","日曜日","にちようび","Sunday","星期日","日曜日は休みです。"
"Lesson 4","番号","ばんごう","Number","號碼","電話番号は何番ですか。"
"Lesson 4","何番","なんばん","What number","幾號","電話番号は何番ですか。"
"Lesson 4","～から","～から","From ~","從～","九時から五時まで働きます。"
"Lesson 4","～まで","～まで","Up to ~, Until ~","到～、直到～","月曜日から金曜日まで働きます。"
"Lesson 4","～と～","～と～","And","和～（連接名詞）","土曜日と日曜日は休みです。"
"Lesson 4","そちら","そちら","Your place","您那邊、您處","そちらは何時から何時までですか。"
"Lesson 4","大変ですね。","たいへんですね。","That's tough, isn't it?","真辛苦呢。","大変ですね。"
"Lesson 4","ええと","ええと","Well, let me see","嗯……讓我想想","ええと、今三時半です。"
"Lesson 4","お願いします。","おねがいします。","Please","麻煩您、請","番号をお願いします。"
"Lesson 4","かしこまりました。","かしこまりました。","Certainly","好的，明白了。","かしこまりました。"
"Lesson 4","お問い合わせの番号","おといあわせのばんごう","The number being inquired about","查詢的號碼","お問い合わせの番号は何番ですか。"
"Lesson 4","警察署","けいさつしょ","Police","警察局","警察署は何番ですか。"
"Lesson 4","消防署","しょうぼうしょ","Fire Station","消防局","消防署の電話番号は何番ですか。"
"Lesson 4","電話番号案内","でんわばんごうあんない","Directory assistance services","電話號碼查詢服務","電話番号案内は何番ですか。"
"Lesson 5","行きます","いきます","Go","去","わたしは毎日学校へ行きます。"
"Lesson 5","来ます","きます","Come","來","友達が来ます。"
"Lesson 5","帰ります","かえります","Go home, return","回家、返回","わたしは六時に家へ帰ります。"
"Lesson 5","学校","がっこう","School","學校","わたしは電車で学校へ行きます。"
"Lesson 5","駅","えき","Station","車站","駅はどこですか。"
"Lesson 5","飛行機","ひこうき","Airplane","飛機","飛行機で日本へ来ました。"
"Lesson 5","船","ふね","Ship","船","船で帰ります。"
"Lesson 5","電車","でんしゃ","Electric Train","電車","わたしは電車で会社へ行きます。"
"Lesson 5","地下鉄","ちかてつ","Subway","地鐵","地下鉄で駅へ行きます。"
"Lesson 5","新幹線","しんかんせん","Shinkansen","新幹線","新幹線で大阪へ行きます。"
"Lesson 5","自転車","じてんしゃ","Bicycle","腳踏車","わたしは自転車で学校へ行きます。"
"Lesson 5","歩いて","あるいて","On foot","步行、走路","駅まで歩いて行きます。"
"Lesson 5","人","ひと","Person, people","人","あの人はだれですか。"
"Lesson 5","友達","ともだち","Friend","朋友","友達と学校へ行きます。"
"Lesson 5","彼","かれ","He, boyfriend, lover","他、男朋友","彼は会社員です。"
"Lesson 5","彼女","かのじょ","She, girlfriend, lover","她、女朋友","彼女は学生です。"
"Lesson 5","家族","かぞく","Family","家人、家族","家族と日本へ来ました。"
"Lesson 5","一人で","ひとりで","Alone, By oneself","一個人、獨自","わたしは一人で帰ります。"
"Lesson 5","先週","せんしゅう","Last week","上週","先週、日本へ来ました。"
"Lesson 5","今週","こんしゅう","This week","這週","今週は毎日学校へ行きます。"
"Lesson 5","来週","らいしゅう","Next week","下週","来週、友達が来ます。"
"Lesson 5","先月","せんげつ","Last month","上個月","先月、日本へ来ました。"
"Lesson 5","今月","こんげつ","This month","這個月","今月は毎日働きます。"
"Lesson 5","来月","らいげつ","Next month","下個月","来月、家族が来ます。"
"Lesson 5","去年","きょねん","Last year","去年","去年、日本へ来ました。"
"Lesson 5","今年","ことし、こんねん","This year","今年","今年も毎日勉強します。"
"Lesson 5","来年","らいねん","Next year","明年","来年また来ます。"
"Lesson 5","～月","～がつ","～th month of the year","～月","わたしの誕生日は三月です。"
"Lesson 5","何月","なんがつ","What month","幾月","誕生日は何月ですか。"
"Lesson 5","一日","ついたち","First day of the month","一號、一日","一日は月曜日です。"
"Lesson 5","二日","ふつか","Second, Second day of the month","二號、二日","二日に友達が来ます。"
"Lesson 5","三日","みっか","Third, Third day of the month","三號、三日","三日は休みです。"
"Lesson 5","四日","よっか","Fourth, Fourth day of the month","四號、四日","四日に学校へ行きます。"
"Lesson 5","五日","いつか","Fifth, Fifth day of the month","五號、五日","五日に帰ります。"
"Lesson 5","六日","むいか","Sixth, Sixth day of the month","六號、六日","六日は日曜日です。"
"Lesson 5","七日","なのか","Seventh, Seventh day of the month","七號、七日","七日に友達と行きます。"
"Lesson 5","八日","ようか","Eighth, Eighth day of the month","八號、八日","八日は休みです。"
"Lesson 5","九日","ここのか","Ninth, Ninth day of the month","九號、九日","九日に帰ります。"
"Lesson 5","十日","とおか","Tenth, Tenth day of the month","十號、十日","十日に家族が来ます。"
"Lesson 5","十四日","じゅうよっか","14th, 14th day of the month","十四號、十四日","十四日は土曜日です。"
"Lesson 5","二十日","はつか","20th, 20th day of the month","二十號、二十日","二十日に帰ります。"
"Lesson 5","二十四日","にじゅうよっか","24th, 24th day of the month","二十四號、二十四日","二十四日は日曜日です。"
"Lesson 5","何日","なんにち","Which day of the month","幾號、幾日","誕生日は何月何日ですか。"
"Lesson 5","いつ","いつ","When","什麼時候","誕生日はいつですか。"
"Lesson 5","誕生日","たんじょうび","Birthday","生日","誕生日はいつですか。"
"Lesson 5","普通","ふつう","Local (train)","普通（列車）","普通で行きます。"
"Lesson 5","急行","きゅうこう","Rapid","急行","急行で大阪へ行きます。"
"Lesson 5","特急","とっきゅう","Express","特急","特急で行きますか。"
"Lesson 5","次の","つぎの","Next","下一班的","次の電車は何時ですか。"
"Lesson 5","どういたしまして。","どういたしまして。","You're welcome, don't mention it.","不客氣。","どういたしまして。"
"Lesson 5","～番線","～ばんせん","～th platform","～號月台","三番線から電車が来ます。"
"Lesson 5","祝祭日","しゅくさいじつ","National holidays","國定假日","祝祭日は休みです。"
"Lesson 5","元日","がんじつ","New year's day","元旦","元日は一月一日です。"
"Lesson 5","成人の日","せいじんのひ","Coming-of-age Day","成人節","成人の日は一月です。"
"Lesson 5","建国記念の日","けんこくきねんのひ","National Foundation day","建國紀念日","建国記念の日は二月十一日です。"
"Lesson 5","春分の日","しゅんぶんのひ","Vernal Equinox day","春分日","春分の日は三月です。"
"Lesson 5","昭和の日","しょうわのひ","Showa day","昭和日","昭和の日は四月二十九日です。"
"Lesson 5","憲法記念日","けんぽうきねんび","Constitution Memorial Day","憲法紀念日","憲法記念日は五月三日です。"
"Lesson 5","緑の日","みどりのひ","Greenery day","綠化節","緑の日は五月四日です。"
"Lesson 5","子供の日","こどものひ","Children's day","兒童節","子供の日は五月五日です。"
"Lesson 5","海の日","うみのひ","Marine day","海洋日","海の日は七月です。"
"Lesson 5","敬老の日","けいろうのひ","Respect-for-the-aged Day","敬老節","敬老の日は九月です。"
"Lesson 5","秋分の日","しゅうぶんのひ","Autumnal Equinox","秋分日","秋分の日は九月です。"
"Lesson 5","体育の日","たいいくのひ","Health and Sports day","體育節","体育の日は十月です。"
"Lesson 5","文化の日","ぶんかのひ","Culture day","文化節","文化の日は十一月三日です。"
"Lesson 5","勤労感謝の日","きんろうかんしゃのひ","Labor thanks giving day","勤勞感謝日","勤労感謝の日は十一月二十三日です。"
"Lesson 5","天皇誕生日","てんのうたんじょうび","The emperor's Birthday","天皇誕辰","天皇誕生日は二月二十三日です。"
"Lesson 6","食べます","たべます","Eat","吃","わたしは毎朝ごはんを食べます。"
"Lesson 6","飲みます","のみます","Drink","喝","毎朝お茶を飲みます。"
"Lesson 6","吸います","すいます","Smoke","吸（菸）","ここでたばこを吸いますか。"
"Lesson 6","見ます","みます","See, look at, watch","看","毎晩テレビを見ます。"
"Lesson 6","聞きます","ききます","Hear, listen","聽","わたしは音楽を聞きます。"
"Lesson 6","読みます","よみます","Read","讀、閱讀","毎朝新聞を読みます。"
"Lesson 6","書きます","かきます","Write","寫","友達に手紙を書きます。"
"Lesson 6","買います","かいます","Buy","買","スーパーで野菜を買います。"
"Lesson 6","撮ります","とります","Take (a photograph)","拍攝（照片）","公園で写真を撮ります。"
"Lesson 6","会います","あいます","Meet","見面","友達に会います。"
"Lesson 6","ごはん","ごはん","Meal","飯、餐","毎日三回ごはんを食べます。"
"Lesson 6","朝ごはん","あさごはん","Breakfast","早餐","毎朝七時に朝ごはんを食べます。"
"Lesson 6","昼ごはん","ひるごはん","Lunch","午餐","昼休みに昼ごはんを食べます。"
"Lesson 6","晩ごはん","ばんごはん","Dinner","晚餐","毎晩七時に晩ごはんを食べます。"
"Lesson 6","卵","たまご","Egg","雞蛋","毎朝卵を食べます。"
"Lesson 6","肉","にく","Meat","肉","わたしは肉をよく食べます。"
"Lesson 6","魚","さかな","Fish","魚","わたしは魚をよく食べます。"
"Lesson 6","野菜","やさい","Vegetable","蔬菜","毎日野菜を食べます。"
"Lesson 6","果物","くだもの","Fruit","水果","毎朝果物を食べます。"
"Lesson 6","水","みず","Water","水","毎日水をたくさん飲みます。"
"Lesson 6","お茶","おちゃ","Green tea","綠茶、茶","毎朝お茶を飲みます。"
"Lesson 6","紅茶","こうちゃ","Black tea","紅茶","わたしは紅茶をよく飲みます。"
"Lesson 6","牛乳","ぎゅうにゅう","Milk","牛奶","毎朝牛乳を飲みます。"
"Lesson 6","「お」酒","「お」さけ","Japanese rice wine","日本酒、酒","わたしはお酒を飲みません。"
"Lesson 6","映画","えいが","Movie","電影","友達と映画を見ます。"
"Lesson 6","手紙","てがみ","Letter","信件","友達に手紙を書きます。"
"Lesson 6","写真","しゃしん","Photograph","照片","公園で写真を撮ります。"
"Lesson 6","店","みせ","Store","店、商店","あの店で野菜を買います。"
"Lesson 6","庭","にわ","Garden","庭院","庭で写真を撮ります。"
"Lesson 6","宿題","しゅくだい","Homework","作業","毎晩宿題をします。"
"Lesson 6","「お」花見","「お」はなみ","Cherry Blossom viewing","賞花（賞櫻）","友達といっしょにお花見をします。"
"Lesson 6","いっしょに","いっしょに","Together","一起","友達といっしょに映画を見ます。"
"Lesson 6","ちょっと","ちょっと","A little while, a little bit","一點點、稍微","ちょっと待ってください。"
"Lesson 6","いつも","いつも","Always, usually","總是、經常","わたしはいつも朝ごはんを食べます。"
"Lesson 6","時々","ときどき","Sometimes","有時候","わたしは時々映画を見ます。"
"Lesson 6","それから","それから","After that, and then","然後、接著","朝ごはんを食べます。それから学校へ行きます。"
"Lesson 6","きゅうり","きゅうり","Cucumber","小黃瓜","わたしはきゅうりをよく食べます。"
"Lesson 6","茄子","なす","Egg plant","茄子","わたしは茄子をよく食べます。"
"Lesson 6","豆","まめ","Beans, peas","豆子","豆をよく食べます。"
"Lesson 6","ねぎ","ねぎ","Welsh onion","蔥","わたしはねぎが好きです。"
"Lesson 6","白菜","はくさい","Chinese cabbage","白菜","白菜をよく食べます。"
"Lesson 6","ほうれん草","ほうれんそう","Spinach","菠菜","ほうれん草をよく食べます。"
"Lesson 6","しゃがい芋","じゃがいも","Potato","馬鈴薯","じゃがいもをよく食べます。"
"Lesson 6","大根","だいこん","Japanese radish","白蘿蔔","大根をよく食べます。"
"Lesson 6","玉ねぎ","たまねぎ","Onion","洋蔥","玉ねぎをよく食べます。"
"Lesson 6","人参","にんじん","Carrot","紅蘿蔔","わたしは人参をよく食べます。"
"Lesson 6","苺","いちご","Strawberry","草莓","苺をよく食べます。"
"Lesson 6","桃","もも","Peach","桃子","桃をよく食べます。"
"Lesson 6","西瓜","すいか","Watermelon","西瓜","夏に西瓜をよく食べます。"
"Lesson 6","葡萄","ぶどう","Grape","葡萄","葡萄をよく食べます。"
"Lesson 6","梨","なし","Japanese pear","梨子","梨をよく食べます。"
"Lesson 6","柿","かき","Persimmon","柿子","秋に柿をよく食べます。"
"Lesson 6","みかん","みかん","Mandarin Orange","橘子","冬にみかんをよく食べます。"
"Lesson 6","りんご","りんご","Apple","蘋果","わたしはりんごをよく食べます。"
"Lesson 6","米","こめ","Rice","米、稻米","日本人は毎日米を食べます。"
"Lesson 7","切ります","きります","Cut, Slice","切、剪","紙をはさみで切ります。"
"Lesson 7","送ります","おくります","Send","寄送","友達に荷物を送ります。"
"Lesson 7","あげます","あげます","Give","給（別人）","友達に花をあげます。"
"Lesson 7","もらいます","もらいます","Receive","收到、得到","友達に手紙をもらいます。"
"Lesson 7","貸します","かします","Lend","借出、借給","友達に本を貸します。"
"Lesson 7","借ります","かります","Borrow","借入、借來","図書館で本を借ります。"
"Lesson 7","教えます","おしえます","Teach","教","先生が日本語を教えます。"
"Lesson 7","習います","ならいます","Learn","學習","わたしは日本語を習います。"
"Lesson 7","かけます","かけます","Make (a telephone call)","打（電話）","友達に電話をかけます。"
"Lesson 7","手","て","Hand","手","手で食べます。"
"Lesson 7","はし","はし","Chopsticks","筷子","はしでごはんを食べます。"
"Lesson 7","はさみ","はさみ","Scissors","剪刀","はさみで紙を切ります。"
"Lesson 7","紙","かみ","Paper","紙","はさみで紙を切ります。"
"Lesson 7","花","はな","Flower","花","友達に花をあげます。"
"Lesson 7","荷物","にもつ","Baggage, Parcel","行李、包裹","友達に荷物を送ります。"
"Lesson 7","お金","おかね","Money","錢","友達にお金を貸します。"
"Lesson 7","切符","きっぷ","Ticket","票","友達に切符をあげます。"
"Lesson 7","父","ちち","(my) Father","（我的）父親","父は銀行員です。"
"Lesson 7","母","はは","(my) Mother","（我的）母親","母は医者です。"
"Lesson 7","お父さん","おとうさん","(someone else's) Father","（別人的）父親","お父さんはお元気ですか。"
"Lesson 7","お母さん","おかあさん","(someone else's) Mother","（別人的）母親","お母さんは先生ですか。"
"Lesson 7","もう","もう","Already","已經","もう食べました。"
"Lesson 7","まだ","まだ","Not yet","還沒","まだ食べていません。"
"Lesson 7","これから","これから","From now on, soon","從現在開始、即將","これから友達に電話をかけます。"
"Lesson 7","ごめんください。","ごめんください。","Excuse me, Anybody home?","打擾了、有人在嗎？","ごめんください。"
"Lesson 7","いらっしゃい。","いらっしゃい。","Welcome","歡迎","いらっしゃい。"
"Lesson 7","失礼します。","しつれいします。","Excuse me (said when entering or leaving)","打擾了（進出時說）","失礼します。"
"Lesson 7","いかがですか。","いかがですか。","Would you like to have [something]?","您覺得如何？要不要來點～？","いかがですか。"
"Lesson 7","いただきます。","いただきます。","Thankyou, Said before eating or drinking","我開動了。","いただきます。"
"Lesson 7","旅行","りょこう","Trip, tour","旅行","来週、家族と旅行をします。"
"Lesson 7","お土産","おみやげ","Souvenir, present","伴手禮","旅行のお土産をあげます。"
"Lesson 8","きれい「な」","きれい「な」","Beautiful, Clean","漂亮、乾淨","この花はきれいです。"
"Lesson 8","静か「な」","しずか「な」","Quiet","安靜","この図書館は静かです。"
"Lesson 8","にぎやか「な」","にぎやか「な」","Lively","熱鬧","駅の近くはにぎやかです。"
"Lesson 8","有名「な」","ゆうめい「な」","Famous","有名","富士山は有名な山です。"
"Lesson 8","親切「な」","しんせつ「な」","Kind","親切","あの先生はとても親切です。"
"Lesson 8","元気「な」","げんき「な」","Healthy, Cheerful","健康、有精神","ミラーさんは元気です。"
"Lesson 8","暇「な」","ひま「な」","Free (time)","空閒","今日は暇です。"
"Lesson 8","便利「な」","べんり「な」","Convenient","方便","駅の近くは便利です。"
"Lesson 8","すてき「な」","すてき「な」","Fine, nice, wonderful","很棒、很好","あの店はすてきです。"
"Lesson 8","大きい","おおきい","Big, large","大的","富士山は大きい山です。"
"Lesson 8","小さい","ちいさい","Small, little","小的","これは小さい時計です。"
"Lesson 8","新しい","あたらしい","New","新的","これは新しい本です。"
"Lesson 8","古い","ふるい","Old","舊的","これは古い時計です。"
"Lesson 8","いい（よい）","いい（よい）","Good","好的","今日はいい天気です。"
"Lesson 8","悪い","わるい","Bad","不好的","今日は天気が悪いです。"
"Lesson 8","暑い","あつい","Hot","熱的","今日はとても暑いです。"
"Lesson 8","寒い","さむい","Cold (referring to temperature)","冷的（氣溫）","今日はとても寒いです。"
"Lesson 8","冷たい","つめたい","Cold (referring to touch)","冰涼的（觸感）","この水は冷たいです。"
"Lesson 8","難しい","むずかしい","Difficult","難的","日本語は難しいです。"
"Lesson 8","易しい","やさしい","Easy","簡單的","この本は易しいです。"
"Lesson 8","高い","たかい","Expensive, tall","貴的、高的","この時計は高いです。"
"Lesson 8","安い","やすい","Inexpensive","便宜的","この店は安いです。"
"Lesson 8","低い","ひくい","Low","低的","この椅子は低いです。"
"Lesson 8","おもしろい","おもしろい","Interesting","有趣的","この映画はおもしろいです。"
"Lesson 8","おいしい","おいしい","Delicious, tasty","好吃的","この料理はおいしいです。"
"Lesson 8","忙しい","いそがしい","Busy","忙碌的","今週はとても忙しいです。"
"Lesson 8","楽しい","たのしい","Enjoyable, fun","開心的、有趣的","旅行はとても楽しいです。"
"Lesson 8","白い","しろい","White","白色的","これは白い花です。"
"Lesson 8","黒い","くろい","Black","黑色的","これは黒いかばんです。"
"Lesson 8","赤い","あかい","Red","紅色的","これは赤い花です。"
"Lesson 8","青い","あおい","Blue","藍色的","空は青いです。"
